model,consume_profile_label,policy,policy_label,max_num_seqs,lambda_req_s,mean_admitted_inflight_requests,valid_consumable_unit_count,violated_unit_count,run_count,validity_pass,no_harm_pass,request_any_unit_missed_count,measured_request_count,unit_deadline_miss_rate,request_any_unit_miss_rate,cell_valid
Qwen/Qwen3.5-9B,TTS (Supertonic-3),sslo,Adaptive,128,16.0,940.5291612092667,8830.0,0.0,1,False,True,0,1025,0.0,0.0,False
Qwen/Qwen3.5-9B,TTS (Supertonic-3),sslo,Adaptive,128,32.0,998.4907887743308,8931.0,2.0,1,False,True,2,1025,0.00022393908856790953,0.001951219512195122,False
Qwen/Qwen3.5-9B,TTS (Supertonic-3),sslo,Adaptive,128,48.0,642.8253475917286,13291.0,0.0,1,False,True,0,1025,0.0,0.0,False
Qwen/Qwen3.5-9B,TTS (Supertonic-3),sslo,Adaptive,128,64.0,984.5653461049695,9115.0,5.0,1,False,True,5,1025,0.0005485463521667581,0.004878048780487805,False
Qwen/Qwen3.5-9B,TTS (Supertonic-3),sslo,Adaptive,128,80.0,998.277166710066,8897.0,2.0,1,False,True,2,1025,0.00022479487467685737,0.001951219512195122,False
Qwen/Qwen3.5-9B,TTS (Supertonic-3),sslo,Adaptive,256,8.0,587.300685093704,11859.0,3.0,1,True,True,3,1025,0.00025297242600556537,0.002926829268292683,True
Qwen/Qwen3.5-9B,TTS (Supertonic-3),sslo,Adaptive,256,16.0,987.0841886712138,11685.0,7.0,1,False,True,7,1025,0.0005990586221651691,0.006829268292682927,False
Qwen/Qwen3.5-9B,TTS (Supertonic-3),sslo,Adaptive,256,32.0,990.074190640343,12198.0,4.0,1,False,True,4,1025,0.0003279226102639777,0.003902439024390244,False
Qwen/Qwen3.5-9B,TTS (Supertonic-3),sslo,Adaptive,256,48.0,993.3781434163791,12242.0,4.0,1,False,True,4,1025,0.00032674399607907203,0.003902439024390244,False
Qwen/Qwen3.5-9B,TTS (Supertonic-3),sslo,Adaptive,256,64.0,995.4602492737496,12331.0,3.0,1,False,True,3,1025,0.0002432892709431514,0.002926829268292683,False
Qwen/Qwen3.5-9B,TTS (Supertonic-3),sslo,Adaptive,256,80.0,993.2735429934855,12163.0,3.0,1,False,True,3,1025,0.0002466496752445943,0.002926829268292683,False
